OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
236,69795876,Toronto. Children's Services - EarlyON Child and Family Centres Locator,Early Years Child and Family Programs; EarlyON Child and Family Centre Finder,164,Wellington Place,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
237,69795881,"Toronto. Children's Services - Toronto Early Learning & Child Care Services, Toronto Home Child Care",Childrens Services; Children's Services Division; TELCCS; THCC; Toronto Early Learning and Child Care Services,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
238,69795889,Toronto. Toronto Youth Job Corps - Toronto. Toronto Youth Job Corps,CV19; Toronto. Youth Job Corps; TYJC,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
239,69797836,Tropicana Community Services Organization - Employment Centre,CV19; Dorset Park Community Hub; Pre-Apprenticeship Training Program; Retail Career Pathway PEAK BASICS Program; Toronto Youth Job Corps TYJC,53,Henry Farm,"Child Care,Family & Youth","Child Care, Youth & Family",Henry Farm,53
240,69797834,Tropicana Community Services Organization - Ontario Employment Services,4365A ; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario; Second Career; YJC; YJCS; Youth Job Connection; Youth Job Connection Summer,53,Henry Farm,"Child Care,Family & Youth","Child Care, Youth & Family",Henry Farm,53
241,72476101,Turning Point Youth Services - TPYS Shelter,CBX2; CV19; TPYS Mens Shelter,167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
242,72476105,Turning Point Youth Services - Turning Point Youth Services,CV19; TPYS; Project Going Home,167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
243,69795868,Ujima House -- Young and Potential Fathers - Ujima House -- Young and Potential Fathers,CV19; Fatherhood Talk; Nobody's Perfect; Still I Rise; Super Dads Super Kids; Super Dad's Super Kids; Young and Potential Fathers Initiative; YPN Family Resource Centre,113,Weston,"Child Care,Family & Youth","Child Care, Youth & Family",Weston,113
244,69799711,Umbrella Central Day Care Services - Umbrella Central Day Care Services,,122,Birchcliffe-Cliffside,"Child Care,Family & Youth","Child Care, Youth & Family",Birchcliffe-Cliffside,122
245,70305579,West Scarborough Neighbourhood Community Centre - 2555 EarlyON Child and Family Centre,CV19; Early Years Centre; EYC; OEYC,124,Kennedy Park,"Child Care,Family & Youth","Child Care, Youth & Family",Kennedy Park,124
246,69797990,"West Scarborough Neighbourhood Community Centre - Boys and Girls Clubs of West Scarborough, Birchmount Bluffs Boys and Girls Club",CV19,122,Birchcliffe-Cliffside,"Child Care,Family & Youth","Child Care, Youth & Family",Birchcliffe-Cliffside,122
247,69797993,"West Scarborough Neighbourhood Community Centre - Boys and Girls Clubs of West Scarborough, West Scarborough Neighbourhood Community Centre",Birchmount Bluffs Boys and Girls Club; North Scarborough Boys and Girls Club; Play Care; West Scarborough Boys and Girls Club,120,Clairlea-Birchmount,"Child Care,Family & Youth","Child Care, Youth & Family",Clairlea-Birchmount,120
248,69798004,West Scarborough Neighbourhood Community Centre - Bridlewood EarlyON Child and Family Centre,Early Years Centre; EarlyOn Child; EYC; OEYC,147,L'Amoreaux West,"Child Care,Family & Youth","Child Care, Youth & Family",L'Amoreaux,117
249,69797998,West Scarborough Neighbourhood Community Centre - TWIST - Targeting Women In Skills Training,CV19; MYCEP,145,Malvern West,"Child Care,Family & Youth","Child Care, Youth & Family",Malvern,132
250,69801769,Weston Frontlines Centre - Weston Frontlines Centre,CV19; Front Lines Center; Frontline; Frontlines,113,Weston,"Child Care,Family & Youth","Child Care, Youth & Family",Weston,113
251,73278164,YMCA of Greater Toronto - Education and literacy - YMCA Academy,Greater Toronto YMCA; Young Men's Christian Association,169,Bay-Cloverhill,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
252,73325989,"YMCA of Greater Toronto - Family, Youth and Children - YMCA Sprott House",YMCAGT; Walmer Road Center; Young Men's Christian Association,95,Annex,"Child Care,Family & Youth","Child Care, Youth & Family",Annex,95
253,73326000,"YMCA of Greater Toronto - Family, Youth and Children - YMCA Youth Gambling Awareness Program",YMCAGT; Young Men's Christian Association; YGAP,100,Yonge-Eglinton,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-Eglinton,100
254,73325938,"YMCA of Greater Toronto - Family, Youth and Children - Youth Drop-in Program (Toronto Downtown)",CBX2; CV19; FRBR; FRLU; MOBR; MOLU; TDIN; THBR; THLU; TUBR; TULU; YMCAGT; Wagner Green Centre; Vanauley St; WEBR; WELU; Young Men's Christian Association,78,Kensington-Chinatown,"Child Care,Family & Youth","Child Care, Youth & Family",Kensington-Chinatown,78
255,73325461,"YMCA of Greater Toronto - Family, Youth and Children - Youth Substance Abuse Program (North York)",YMCAGT; Toronto - North York YMCA Center; Young Men's Christian Association; YSAP,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
256,73325482,"YMCA of Greater Toronto - Family, Youth and Children - Youth Substance Abuse Program (Scarborough)",YMCAGT; Toronto - Scarborough YMCA Center; Young Men's Christian Association; YSAP,156,Bendale-Glen Andrew,"Child Care,Family & Youth","Child Care, Youth & Family",Bendale,127
257,73325493,"YMCA of Greater Toronto - Family, Youth and Children - Youth Substance Abuse Program (Toronto Downtown)",YMCAGT; Toronto Vanauley Street YMCA Centre; Vanauley St Center; Young Men's Christian Association; YSAP,78,Kensington-Chinatown,"Child Care,Family & Youth","Child Care, Youth & Family",Kensington-Chinatown,78
258,73277556,YMCA of Greater Toronto - Recreation - Family Development Centre,CV19; Greater Toronto YMCA; Young Men's Christian Association,169,Bay-Cloverhill,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
259,69798296,Yonge Street Mission - TD Computer Literacy Centre,Computer Literacy Centre; CV19; TD Securities Computer Literacy Centre; YSM,71,Cabbagetown-South St.James Town,"Child Care,Family & Youth","Child Care, Youth & Family",Cabbagetown-South St.James Town,71
260,69801211,York University - TD Community Engagement Centre,CA Tax Clinics; CV19; TD CEC,24,Black Creek,"Child Care,Family & Youth","Child Care, Youth & Family",Black Creek,24
261,69799449,"Yorktown Family Services - Infant, Child and Youth Mental Health - Prevention, Intervention and Treatment Programs",CV19; Early ON Child and Family Centre; EarlyON Child and Family Centre; OEYC; Ontario Early Years Centre; Yorktown Child and Family Centre,108,Briar Hill-Belgravia,"Child Care,Family & Youth","Child Care, Youth & Family",Briar Hill-Belgravia,108
262,69799451,"Yorktown Family Services - Infant, Child and Youth Mental Health - What's Up Walk-in Counselling Services",coronavirus; COVID19 Mental Health Support Strategy; CV19,108,Briar Hill-Belgravia,"Child Care,Family & Youth","Child Care, Youth & Family",Briar Hill-Belgravia,108
263,72453326,Yorktown Family Services - Walk-in Counselling Services,CV19; Jane St Hub Walk-In Counselling; Jane Street Hub; Jane Street Youth Walk In Mental Health Clinic; What's Up Walk-In Counselling Clinic; Yorktown Child and Family Centre; Yorktown Walk-In Counselling Service,30,Brookhaven-Amesbury,"Child Care,Family & Youth","Child Care, Youth & Family",Brookhaven-Amesbury,30
264,69799456,Yorktown Family Services - West Toronto Youth Hub,CV19; Jane St Hub; Jane Street Hub; Supporting Young Families; SYF; Yorktown Child and Family Centre; Youth Mentorship Program,30,Brookhaven-Amesbury,"Child Care,Family & Youth","Child Care, Youth & Family",Brookhaven-Amesbury,30
265,70619445,Youth Assisting Youth - Youth to Youth Peer Mentoring Programs,CCMP; CIF; Community Connection Mentorship Program; Community Connections Mentorship Program; CV19; Group Mentoring Program; One-to-One Peer Mentoring Program; The Peer Project; Youth Mentoring Youth,36,Newtonbrook West,"Child Care,Family & Youth","Child Care, Youth & Family",Newtonbrook West,36
266,69798321,Youth Employment Services YES - Job Central,CV19; Streets to Jobs,112,Beechborough-Greenbrook,"Child Care,Family & Youth","Child Care, Youth & Family",Beechborough-Greenbrook,112
267,69798331,"Youth Employment Services YES - Ontario Employment Services, Bloor / Dundas Site",3933B; Canada-Ontario Job Grant; CV19; Employment Ontario; Second Career; YJC; YJCS; Youth Job Connection; Youth Job Connection Summer,88,High Park North,"Child Care,Family & Youth","Child Care, Youth & Family",High Park North,88
268,69798324,"Youth Employment Services YES - Ontario Employment Services, Head Office",3933A; Canada-Ontario Job Grant; COJG; CV19; Employment Ontario; Second Career; YJC; YJCS; Youth Job Connection; Youth Job Connection Summer,164,Wellington Place,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
269,69798334,Youth Employment Services YES - Toronto Youth Job Corps,CV19,31,Yorkdale-Glen Park,"Child Care,Family & Youth","Child Care, Youth & Family",Yorkdale-Glen Park,31
270,69798329,"Youth Employment Services YES - YES Employment Centre, Bloor / Dundas Site",Career Discovery; Career Opportunity; Ontario Works programs; YESAbility,88,High Park North,"Child Care,Family & Youth","Child Care, Youth & Family",High Park North,88
271,69798326,Youth Employment Services YES - Youth Employment Services YES,BizStart Entrepreneurship Program; CV19; Financial Literacy Program; Lighthouse project; Summer Company; Youth Collaboration Program,164,Wellington Place,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
272,69801730,Youth Unlimited - Youth Unlimited,CIF; Curb Light Homeless Youth Outreach; CV19; Health Light Street Health Unit; HT1; Light House; Light Patrol Youth Transitional Support; Rahab Ministry; Toronto Youth for Christ; Youth for Christ International Ministries (YFC); Youth Unlimited Greater Toronto Area (YUGTA),43,Victoria Village,"Child Care,Family & Youth","Child Care, Youth & Family",Victoria Village,43
273,70824080,Youth Wellness Hubs Ontario - YWHO Online Site List,CV19; YWHO,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
274,69798342,Youthdale Treatment Centres - Youthdale Treatment Centres,Camp Magnetawan; CV19; Medical Consultation Clinic; Mobile Crisis; Psychiatric Crisis Service; Transitional Psychiatric Unit; Youthdale Camp,168,Ryerson,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
275,69795376,YouthLink - Youth Transition Home and Emergency Shelter,CBX2 ; Big Sister Association of Toronto; HT1; Youth Link,120,Clairlea-Birchmount,"Child Care,Family & Youth","Child Care, Youth & Family",Clairlea-Birchmount,120
276,72776240,YouthLink - YouthLink,CBX2; Big Sister Association of Toronto; COVID19 Mental Health Support Strategy; CV19; HT1; North West Scarborough Youth Centre; Pathways to Education (Scarborough Village); What's Up Walk-In Mental Health Clinic; What's Up Walk In; What's Up Walk-In Counselling Clinic; What's Up Walk-In Counselling Services; Youth Link; Youth Walk In Mental Health Clinic,124,Kennedy Park,"Child Care,Family & Youth","Child Care, Youth & Family",Kennedy Park,124
277,69795102,YouthREX - YouthREX,"CES; Customized Evaluation Supports; York Centre for Education & Community, York University; Youth Research and Evaluation eXchange; Youth REX",170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
278,69800669,Ability Online Support Network - Ability Online Support Network,,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
279,69797418,Aphasia Institute - Aphasia Institute,CV19; Toastmaster's Gavel Club,42,Banbury-Don Mills,Disability,Disability,Banbury-Don Mills,42
280,69794066,ARCH Disability Law Centre - ARCH Disability Law Centre,CV19; Disability Law Centre,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
281,69794229,Bell Canada Accessibility Services Centre - Bell Relay Services,Bell IP Relay Service; BRS,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
282,69800945,Best Buddies Canada - Best Buddies Canada,Best Buddies International; Vrais Copains,158,Islington,Disability,Disability,Islington-City Centre West,14
283,69802697,Canadian Adaptive Snowsports - Ontario Division - Canadian Adaptive Snowsports - Ontario Division,AOPRT; CADS; CADS Ontario; Canadian Association for Disabled Skiing Ontario; OPAST,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
284,69794503,"Canadian Hearing Services - Canadian Hearing Services, Toronto Regional Office",4538A; CHS; Connect Counselling Services; CV19; Emergency Interpreter Services; Hearing Aid Program; Hearing Care Counselling; Hearing Society; HT1; Ontario Interpreter Services,96,Casa Loma,Disability,Disability,Casa Loma,96
285,69794499,Canadian Hearing Services - Literacy and Basic Skills,4538A; ASL Program; Canadian Hearing Society; CHS; CV19; Deaf Workforce Literacy; Hearing Society; Impact ASL Program; LBS; Work Force Literacy,96,Casa Loma,Disability,Disability,Casa Loma,96
286,69794501,"Canadian Hearing Services - Ontario Employment Assistance Services, Toronto Regional Office",Canadian Hearing Society; CHS; CV19; EAS; Employment Assessment Services; Employment Assistance Service; OEAS; Ontario Employment Assessment Services,96,Casa Loma,Disability,Disability,Casa Loma,96
287,69803095,Canadian Orthopaedic Foundation - Ortho Connect Peer Support Program,Canadian Orthopedic Foundation,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
288,69794552,"Canadian Red Cross, Toronto Branch - Transportation",Red Cross,1,West Humber-Clairville,Disability,Disability,West Humber-Clairville,1
289,69800835,"Career Foundation - Empowering Abilities Program, Cliffside Plaza",CV19,122,Birchcliffe-Cliffside,Disability,Disability,Birchcliffe-Cliffside,122
290,69803075,Centre for ADHD Awareness Canada - Centre for ADHD Awareness Canada,ADD; ADHD; CADDAC,73,Moss Park,Disability,Disability,Moss Park,73
291,69686443,Centre for Equitable Library Access - Centre for Equitable Library Access,CELA,11,Eringate-Centennial-West Deane,Disability,Disability,Eringate-Centennial-West Deane,11
292,69803297,Communications Disabilities Across Canada - Communications Disabilities Across Canada,CDAC; CV19,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
293,69795840,"Community Living Toronto - Community Living Toronto, Central",Adult Protective Service Worker Program; APSW; Connect Ability; ConnectABILITY; CV19,95,Annex,Disability,Disability,Annex,95
294,69795843,"Community Living Toronto - Community Living Toronto, Etobicoke / York",CV19,12,Markland Wood,Disability,Disability,Markland Wood,12
295,69795846,"Community Living Toronto - Community Living Toronto, North York",CV19; Victoria Park Hub,27,York University Heights,Disability,Disability,York University Heights,27
296,69795849,"Community Living Toronto - Community Living Toronto, Scarborough",CV19,142,Woburn North,Disability,Disability,Woburn,137
297,69783195,Down Syndrome Association of Toronto - Down Syndrome Association of Toronto,CV19; DSAT; Toronto Down Syndrome Association,11,Eringate-Centennial-West Deane,Disability,Disability,Eringate-Centennial-West Deane,11
298,69795172,Family Service Toronto - Options Program,covid-19; CV19; Family Services Toronto; FST,83,Dufferin Grove,Disability,Disability,Dufferin Grove,83
299,69796905,Fresh Start Cleaning and Maintenance - Fresh Start Cleaning and Maintenance,City Extreme Cleaning; Fresh Start Cleaning & Maintenance,90,Junction Area,Disability,Disability,Junction Area,90
300,69795204,Frontier College - Independent Studies Program,,98,Rosedale-Moore Park,Disability,Disability,Rosedale-Moore Park,98
301,69801129,George Brown College - Academic Upgrading Program for Deaf and Hard of Hearing Adults,4695C; Deaf Learn Now; echannel; e-channel; elearning; e-learning; GBC; LBS; Literacy and Basic Skills,73,Moss Park,Disability,Disability,Moss Park,73
302,69798746,Good Foot Delivery - Good Foot Delivery,,80,Palmerston-Little Italy,Disability,Disability,Palmerston-Little Italy,80
303,69794635,JobStart - Capability program,CV19,18,New Toronto,Disability,Disability,New Toronto,18
304,69795520,JVS Toronto - Al Green Resource Centre,Autism Spectrum Disorder ASD Job readiness program; Career coaching for individuals with Autisum Spectrum Disorder; Community Choices for Success; CV19; Developing Work Connections; Path 2 Work; Person Directed Planning Initiative; Project Gold,31,Yorkdale-Glen Park,Disability,Disability,Yorkdale-Glen Park,31
305,69806050,Little People of Ontario - Little People of Ontario,Ontario Little People,98,Rosedale-Moore Park,Disability,Disability,Rosedale-Moore Park,98
306,69798302,Make A Change Canada - Make A Change Canada,CV19,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
307,69796262,"March of Dimes Canada - Employment Services, Head Office",3010H; Canadian Veterans Vocational Rehabilitation Services; CVVRS; EAS; OEAS; OMOD; Ontario Employment Assessment Services; Ontario Employment Assistance Services,55,Thorncliffe Park,Disability,Disability,Thorncliffe Park,55
308,69796264,"March of Dimes Canada - March of Dimes Canada, Head Office",After Stroke; Assistive Devices Program; Design Ability; DesignAbility; Home and Vehicle Modification Program; Learning Independence for Future Empowerment; LIFE; MODC Non-Profit Housing; OMOD; Pop can tabs; Post Polio Canada; Post-Polio Canada; Stroke Recovery Canada,55,Thorncliffe Park,Disability,Disability,Thorncliffe Park,55
309,70092343,"March of Dimes Canada [Durham Region location] - March of Dimes Canada, Head Office",After Stroke; Assistive Devices Program; Design Ability; DesignAbility; Home and Vehicle Modification Program; Learning Independence for Future Empowerment; LIFE; MODC Non-Profit Housing; OMOD; OSH; Pop can tabs; Post Polio Canada; Post-Polio Canada; Stroke Recovery Canada,55,Thorncliffe Park,Disability,Disability,Thorncliffe Park,55
310,69802709,Ontario Association of Sign Language Interpreters - Ontario Association of Sign Language Interpreters,CV19; OASLI,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
311,69806974,Ontario Track 3 Ski Association for the Disabled - Ontario Track 3 Ski Association for the Disabled,,159,Etobicoke City Centre,Disability,Disability,Islington-City Centre West,14
312,72775981,"Ontario. Ministry of Children, Community and Social Services - Developmental Services Passport Program",MCCSS,78,Kensington-Chinatown,Disability,Disability,Kensington-Chinatown,78
313,69801411,"Ontario. Ministry of Children, Community and Social Services - Toronto Region Office",ACSD; Assistance for Children with Severe Disabilities Benefit; MCYS; Ministry of Children and Youth Services; Special Services at Home; SSAH,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
314,69796952,Operation Springboard - Frank Drea House,Drea House,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
315,69796955,Operation Springboard - North Beaches Residence,CV19; Hub Community Learning; Springboard Services,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
316,69796964,Operation Springboard - Seeking Opportunities Accessing Resources,CV19; S.O.A.R. Program; SOAR Program,126,Dorset Park,Disability,Disability,Dorset Park,126
317,69801613,PACE Independent Living - Acquired Brain Injury Services,abi Possibilities; Acquired Brain Injury Possibilities; Edwards Manor; Edwards Manor Co-operative Living Community,31,Yorkdale-Glen Park,Disability,Disability,Yorkdale-Glen Park,31
318,69797005,PACE Independent Living - PACE Independent Living,Bello Horizonte Project,31,Yorkdale-Glen Park,Disability,Disability,Yorkdale-Glen Park,31
319,69798822,Project Work - Project Work,Employment for All; ReachingHIRE,174,South Eglinton-Davisville,Disability,Disability,Mount Pleasant West,104
320,73118397,Project Work - Supported Employment Program,4744A; EAS,174,South Eglinton-Davisville,Disability,Disability,Mount Pleasant West,104
321,71742259,"Salvation Army, Services for Persons with Disabilities - Broadview Village",,57,Broadview North,Disability,Disability,Broadview North,57
322,73414601,"Salvation Army, Services for Persons with Disabilities - New Booth Community Engagement and Pre-Employment Program",,159,Etobicoke City Centre,Disability,Disability,Islington-City Centre West,14
323,71233173,ServiceOntario - Accessible Parking Permit,CV19; Ontario. Ministry of Transportation,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
324,69797381,Society of Saint Vincent de Paul - DePaul House,Society of St Vincent de Paul; SSVP; St Vincent de Paul Society; SVDP,157,Bendale South,Disability,Disability,Bendale,127
325,69797359,Society of Saint Vincent de Paul - Martineau House,Society of St Vincent de Paul; SSVP; St Vincent de Paul Society; SVDP,138,Eglinton East,Disability,Disability,Eglinton East,138
326,69797384,Society of Saint Vincent de Paul - Vincent House,Society of St Vincent de Paul; SSVP; St Vincent de Paul Society; SVDP,136,West Hill,Disability,Disability,West Hill,136
327,72921584,South Asian Autism Awareness Centre - South Asian Autism Awareness Centre,SAAAC,142,Woburn North,Disability,Disability,Woburn,137
328,69795088,Strides Toronto - Developmental Services,CV19; AAIMS; Adults Achieving Independence through Motivation and Skills; Asperger's Youth for Community Engagement and Socialization Program; AYCES; CV19; EMYS; Galloway After School Program; GASP; Saturday Respite; Short Breaks for Families; TFTT; Time for the Taking,136,West Hill,Disability,Disability,West Hill,136
329,69799893,SurexCare - SurexCare,,42,Banbury-Don Mills,Disability,Disability,Banbury-Don Mills,42
330,69800031,Toronto Transit Commission - Wheel-Trans,Community Bus Service; CV19; TTC; Wheel Trans; Wheeltrans,70,South Riverdale,Disability,Disability,South Riverdale,70
331,69797877,Variety Village - Variety Village,CV19; LINKS; MILESTONES,122,Birchcliffe-Cliffside,Disability,Disability,Birchcliffe-Cliffside,122
332,69797916,VITA Mens Sana - VITA Mens Sana,"CV19; Families for Mental Health; Mens Sana, Familiies for Mental Health; Villa Charities; Vita CLS",21,Humber Summit,Disability,Disability,Humber Summit,21
333,69803360,Wheel Dance - Wheel Dance,CV19,170,Yonge-Bay Corridor,Disability,Disability,Bay Street Corridor,76
334,69798084,"WoodGreen Community Services - Developmental Services for Adults and Children, Danforth Avenue Main Office 2d floor",Toronto WoodGreen Community Services,69,Blake-Jones,Disability,Disability,Blake-Jones,69
335,70496984,Assaulted Women's Helpline - Assaulted Women's Helpline,CBX2 ; Assaulted Womens Helpline; AWH; AWHL; HT1,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
336,71210879,Canadian Centre to End Human Trafficking - Canadian Human Trafficking Hotline,CBX2; Anti-Human Trafficking Line; CV19; HT1,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
337,70645249,Centre for Addiction and Mental Health - CAMH Psychiatric Emergency Department,CAMH; CAMH Crisis Clinic; CAMH Emergency Services; CV19; EAU; Gerald Sheff & Shanitha Kachan Emergency Department; Psychiatric Emergency Services and Emergency Assessment Unit; Crisis and Critical Care,162,West Queen West,Emergency-Crisis,Emergency & Crisis,Niagara,82
338,70568694,Child Find Ontario - Child Find Ontario,Canadian Centre for Child Protection; CCCP; Centre for Child Protection; CFO; Commit to Kids; Cyber Tips; Cybert!p.ca; Cybertip!ca; Cybertip.ca; Don't Get Sextorted; DontGetSextorted.ca; Kids in the Know; Missingkids.ca; Need Help Now; NeedHelpNow.ca; Ontario Child Find; Protect Kids Online; ProtectKidsOnline.ca,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
339,69794435,Chrysalis Anti-Human Trafficking Network - Chrysalis Anti-Human Trafficking Network,CBX2; Anti Human Trafficking Network; CV19; HT1; Human Trafficking Counselling Hotline; Project Lifeline,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
340,69798785,Crisis Services Canada - Canada Suicide Prevention Service,CBX2; Canadian Suicide Prevention Line; CBX2; National Suicide Prevention Hotline,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
341,71808352,Distress Centres of Greater Toronto - 408 Helpline GTA,CBX2; 408 Help Line; Caller Reassurance Program; Distress Centre of GTA; Distress Centre of Toronto; Distress Centres of Greater Toronto Area; HT1,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
342,69801635,Findhelp Information Services - 211 Central Region Contact Centre,211 Durham Region; 211 Peel Region; 211 Toronto; 211 York Region,97,Yonge-St.Clair,Emergency-Crisis,Emergency & Crisis,Yonge-St.Clair,97
343,72776279,Gerstein Crisis Centre - Gerstein Crisis Centre,CBX2; CV19; COVID19 Mental Health Support Strategy; Mental Health and Substance Use Crisis Response; Mobile Crisis,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
344,70666633,Gerstein Crisis Centre - Gerstein on Bloor,covid-19; CV19; Female Crisis Beds; Mental Health and Justice Short Term Residential Beds,83,Dufferin Grove,Emergency-Crisis,Emergency & Crisis,Dufferin Grove,83
345,69795331,Hospital for Sick Children - Emergency Department,HSC; Sick Children's Hospital; Sick Kids Hospital; CV19,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
346,69795347,Humber River Hospital - Emergency Department,HRH,154,Oakdale-Beverley Heights,Emergency-Crisis,Emergency & Crisis,Downsview-Roding-CFB,26
347,70666912,Kids Help Phone - Crisis Text Line,CBX2; COVID19 Mental Health Support Strategy; CV19; Dionne Counselling Centre; HT1; Kids Help Line; Kids Helpline,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
348,69801578,LOFT Community Services - Behavioural Support Services -- Mobile Support Teams (South),CV19; Leap of Faith Together,25,Glenfield-Jane Heights,Emergency-Crisis,Emergency & Crisis,Glenfield-Jane Heights,25
349,69799633,Lumenus Community Services - Griffin Community Support Network,CV19; GCSN,27,York University Heights,Emergency-Crisis,Emergency & Crisis,York University Heights,27
350,69797691,Michael Garron Hospital - Emergency Department,East General Hospital; TEGH; Toronto East Health Network,59,Danforth-East York,Emergency-Crisis,Emergency & Crisis,Danforth East York,59
351,69795981,Mount Sinai Hospital - Emergency Department,Mt Sinai Hospital; Schwartz Reisman Emergency Centre,78,Kensington-Chinatown,Emergency-Crisis,Emergency & Crisis,Kensington-Chinatown,78
352,69796097,North York General Hospital - Emergency Department,NYGH,52,Bayview Village,Emergency-Crisis,Emergency & Crisis,Bayview Village,52
353,69800349,Ontario. Ministry of the Attorney General. Victim Support Line - Ontario. Ministry of the Attorney General. Victim Support Line,CV19; MAG; Victim Notification System; Victims and Vulnerable Persons Division; VSL; VVPD,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
354,69796916,"Ontario. Ministry of the Environment , Conservation and Parks - Spills Action Centre",Ministry of the Environment,50,Newtonbrook East,Emergency-Crisis,Emergency & Crisis,Newtonbrook East,50
355,70089605,Ontario. Ministry of the Solicitor General - Emergency Management Ontario,CV19; EMO; MCSCS; Ministry of Community Safety and Correctional Services; Office of the Fire Marshal and Emergency Management,170,Yonge-Bay Corridor,Emergency-Crisis,Emergency & Crisis,Bay Street Corridor,76
356,71468926,"Salvation Army, Community and Family Services - Emergency Disaster Services",,119,Wexford/Maryvale,Emergency-Crisis,Emergency & Crisis,Wexford/Maryvale,119
357,72737850,Sanitation and Washroom Services (Toronto) - Public washrooms and Portable washrooms - Toronto,CV19; Public Restroom; Public Washrooms; Restroom; Restrooms; Toilets; Portable toilets; Summer Public Washrooms ,162,West Queen West,Emergency-Crisis,Emergency & Crisis,Niagara,82
358,69800808,"Scarborough Health Network - Birchmount Hospital, Regional Crisis Programs",MCIT; Mobile Crisis Intervention Team; Scarborough Regional Crisis Program; SHN,148,East L'Amoreaux,Emergency-Crisis,Emergency & Crisis,L'Amoreaux,117
359,73082243,Scarborough Health Network - Community Crisis Program,Mobile Crisis; SHN; CBX2,156,Bendale-Glen Andrew,Emergency-Crisis,Emergency & Crisis,Bendale,127
360,69800791,"Scarborough Health Network - Emergency Department, Birchmount Hospital",Sexual Assault and Domestic Violence Program; SHN,148,East L'Amoreaux,Emergency-Crisis,Emergency & Crisis,L'Amoreaux,117
361,69800781,"Scarborough Health Network - Emergency Department, Centenary Hospital",Centenary Rouge Valley; RVHS; SHN,135,Morningside,Emergency-Crisis,Emergency & Crisis,Morningside,135
362,69800798,"Scarborough Health Network - Emergency Department, General Hospital",Sexual Assault and Domestic Violence Program; SHN,156,Bendale-Glen Andrew,Emergency-Crisis,Emergency & Crisis,Bendale,127
363,69800793,Scarborough Health Network - Sexual Assault and Domestic Violence Program,Domestic Violence Care Centre; HT1; Reaching Out of the Darkness; SADVCC; Sexual Assault Care Centre; Sexual Assault Treatment Centre; SHN,148,East L'Amoreaux,Emergency-Crisis,Emergency & Crisis,L'Amoreaux,117
364,69797460,St Joseph's Health Centre - Emergency Department,Unity Health Toronto,87,High Park-Swansea,Emergency-Crisis,Emergency & Crisis,High Park-Swansea,87
